Symbol,Date,Close
ZJYL,2023-3-28 ,7.95
ZJYL,2023-3-29 ,7.93
ZJYL,2023-3-30 ,7.65
ZJYL,2023-3-31 ,7.45
ZJYL,2023-4-3 ,7.5
ZJYL,2023-4-4 ,7.29
ZJYL,2023-4-5 ,7.48
ZJYL,2023-4-6 ,7.35
ZJYL,2023-4-10 ,7.33
ZJYL,2023-4-11 ,7.38
ZJYL,2023-4-12 ,7
ZJYL,2023-4-13 ,7
ZJYL,2023-4-14 ,6.99
ZJYL,2023-4-17 ,7.75
ZJYL,2023-4-18 ,7.6
ZJYL,2023-4-19 ,7.44
ZJYL,2023-4-20 ,7.6
ZJYL,2023-4-21 ,7.32
ZJYL,2023-4-24 ,7.48
ZJYL,2023-4-25 ,7.42
ZJYL,2023-4-26 ,7.38
ZJYL,2023-4-27 ,7.15
ZJYL,2023-4-28 ,7.63
ZJYL,2023-5-1 ,9.6
ZJYL,2023-5-2 ,5.88
ZJYL,2023-5-3 ,5.5
ZJYL,2023-5-4 ,5.6
ZJYL,2023-5-5 ,5.7
ZJYL,2023-5-8 ,5.6
ZJYL,2023-5-9 ,5.7
ZJYL,2023-5-10 ,5.59
ZJYL,2023-5-11 ,5.54
ZJYL,2023-5-12 ,5.57
ZJYL,2023-5-15 ,5.58
ZJYL,2023-5-16 ,5.58
ZJYL,2023-5-17 ,5.56
ZJYL,2023-5-18 ,5.4
ZJYL,2023-5-19 ,5.4
ZJYL,2023-5-22 ,5.37
ZJYL,2023-5-23 ,5.45
ZJYL,2023-5-24 ,5.97
ZJYL,2023-5-25 ,5.5
ZJYL,2023-5-26 ,5.7
ZJYL,2023-5-30 ,5.68
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
FNCH,,
FNCH,,
FNCH,,
FNCH,,
FNCH,,
FNCH,,
FNCH,,
FNCH,,
FNCH,,
FNCH,,
FNCH,,
FNCH,,
FNCH,,
FNCH,,
FNCH,,
FNCH,,
FNCH,,
FNCH,,
FNCH,,
FNCH,,
FNCH,,
FNCH,,
